Wall time,Step,Value
1692371467.289189,43,-3.4538700580596924
1692371467.420303,46,-3.4401094913482666
1692371468.7076523,72,-3.4572856426239014
1692371469.699201,95,-3.5051140785217285
1692371473.3318365,168,-3.4045169353485107
1692371476.639587,230,-3.5397987365722656
1692371476.950006,235,-3.5262255668640137
1692371478.5824976,256,-3.4087448120117188
1692371479.7001755,274,-3.4367709159851074
1692371482.1528707,309,-3.49718976020813
1692371482.287894,311,-3.3747739791870117
1692371482.771115,319,-3.503556966781616
1692371493.4342508,475,-3.449769973754883
1692371496.961973,537,-3.4603278636932373
1692371499.1208289,580,-3.5252275466918945
1692371499.4371347,587,-3.509376049041748
1692371501.918574,635,-3.486024856567383
1692371502.4809942,648,-3.4326682090759277
1692371512.172479,672,-3.463463306427002
1692371534.599057,715,-3.538499593734741
1692371538.3216352,723,-3.388946056365967
1692371568.5322042,786,-3.342451333999634
1692371576.7738874,803,-3.2866718769073486
1692371579.7696643,809,-3.3013763427734375
1692371592.401527,837,-3.2897231578826904
1692371657.045459,972,-1.2188746929168701
1692371677.8089995,1015,-1.572644591331482
1692371703.6499133,1067,-3.577061653137207
1692371722.6880925,1105,-3.827205181121826
1692371760.7047389,1181,-3.8404014110565186
1692371804.0019612,1262,-4.003870010375977
1692371831.8029187,1317,-3.9909040927886963
1692371833.2449915,1320,-4.066340446472168
1692371841.205783,1334,-4.030276775360107
1692371843.365206,1338,-4.090035915374756
1692371867.1427994,1386,-4.079359531402588
1692371870.3962681,1393,-4.140270233154297
1692371891.4652736,1437,-4.17586088180542
1692371905.9037917,1467,-4.257724285125732
1692371933.948175,1524,-4.275658130645752
1692371947.6400106,1553,-4.251672267913818
1692371955.2787485,1569,-4.261740684509277
1692371962.867672,1585,-4.311794281005859
1692372013.5678625,1692,-4.291595458984375
1692372034.7925427,1735,-4.298572063446045
1692372036.5679808,1738,-4.286806583404541
1692372093.1363008,1845,-4.468549728393555
1692372105.019622,1867,-4.403127670288086
1692372110.6316118,1878,-4.421921253204346
1692372131.0776834,1918,-4.352078437805176
1692372146.2482789,1948,-4.204173564910889
1692372189.2313242,2037,-4.367972373962402
1692372218.771398,2097,-4.410243511199951
1692372264.0803888,2188,-4.471438884735107
1692372269.807206,2200,-4.347043991088867
1692372285.5049875,2232,-4.368476390838623
1692372300.9367213,2263,-4.3479413986206055
1692372322.6977205,2308,-4.413602352142334
1692372362.1406953,2390,-4.385806560516357
1692372385.0796392,2437,-4.508800983428955
1692372393.3486807,2454,-4.429275035858154
1692372394.5310807,2456,-4.310271263122559
1692372396.9403257,2461,-4.353253364562988
1692372408.7710102,2486,-4.353650093078613
1692372409.5448806,2487,-4.343221187591553
1692372415.2138293,2499,-4.213768482208252
1692372417.8130455,2504,-4.315007209777832
1692372432.2101457,2533,-4.361019134521484
1692372439.4437249,2548,-4.417446136474609
1692372508.0004973,2686,-4.232855796813965
1692372535.2093902,2741,-4.229772567749023
1692372649.939453,2968,-4.142539024353027
1692372684.8855844,3039,-4.113683700561523
1692372686.164172,3042,-4.126189708709717
1692372746.7632055,3162,-4.005587577819824
1692372781.4332178,3231,-3.8562963008880615
1692372788.7979956,3245,-3.847672939300537
1692372789.644212,3247,-3.9163970947265625
1692372790.0650804,3248,-3.7888026237487793
1692372819.732254,3306,-3.8732621669769287
1692372912.8662403,3481,-2.600252628326416
1692372983.5934143,3619,-3.172469139099121
1692372984.9598963,3621,-3.3025782108306885
1692373010.700253,3671,-3.2741925716400146
1692373050.4440725,3742,-3.2936811447143555
1692373081.2435467,3794,-3.384658098220825
1692373093.4980347,3815,-3.45143723487854
1692373097.6808808,3822,-3.4356532096862793
1692373155.9534163,3929,-3.6114203929901123
1692373170.2461603,3957,-3.629552125930786
1692373183.802616,3985,-3.570401906967163
1692373209.6910868,4037,-3.767253875732422
1692373240.5042932,4099,-3.808185577392578
1692373294.4675894,4197,-3.855849027633667
1692373310.7420702,4228,-4.022675514221191
1692373312.9372642,4233,-3.9621567726135254
1692373356.0985234,4318,-3.9982235431671143
1692373356.932058,4320,-3.975180149078369
1692373398.440245,4401,-4.07881498336792
1692373444.7156289,4493,-4.153564929962158
1692373453.1873071,4510,-4.158154487609863
1692373463.7553937,4531,-4.145045757293701
1692373529.1333077,4665,-4.152140140533447
1692373530.7431483,4669,-4.171167373657227
1692373534.6216705,4677,-4.321945667266846
1692373588.7585845,4789,-4.264021873474121
1692373595.9069328,4803,-4.1614298820495605
1692373613.8625376,4841,-4.254077911376953
1692373619.5720925,4853,-4.2732391357421875
1692373639.6944942,4895,-4.334920406341553
1692373677.0380642,4972,-4.330601215362549
1692373714.5924618,5051,-4.290597438812256
1692373716.0503502,5053,-4.291006088256836
1692373741.2631817,5107,-4.34840726852417
1692373754.5901504,5135,-4.411121845245361
1692373805.7096214,5240,-4.28985071182251
1692373857.1495497,5346,-4.278617858886719
1692373864.340658,5360,-4.3273420333862305
1692373894.0890577,5421,-4.234093189239502
1692373957.2131474,5550,-4.261566162109375
1692374019.9161625,5680,-4.2508955001831055
1692374041.8914273,5724,-4.357389450073242
1692374083.3325186,5809,-4.218611717224121
1692374093.0544775,5829,-4.351132392883301
1692374110.4388795,5865,-4.3643975257873535
1692374114.1201832,5872,-4.335994243621826
1692374131.4329898,5908,-4.273384094238281
1692374141.6720316,5929,-4.276453971862793
1692374172.1719496,5991,-4.30279541015625
1692374182.1857913,6011,-4.2712178230285645
1692374236.291808,6122,-4.363794326782227
1692374241.2035143,6132,-4.401081562042236
1692374275.838343,6201,-4.215074062347412
1692374282.0479019,6214,-4.3939924240112305
1692374284.5067313,6220,-4.371719837188721
1692374319.418023,6290,-4.323664665222168
1692374330.7789207,6313,-4.178735256195068
1692374361.5936487,6377,-4.498109340667725
1692374435.8547866,6521,-4.159358978271484
1692374463.3993208,6575,-4.164418697357178
1692374477.4614687,6604,-4.1551923751831055
1692374504.8408818,6658,-4.233715057373047
1692374524.28087,6697,-4.0270843505859375
1692374525.566336,6700,-4.057435512542725
1692374531.7516925,6712,-4.213147163391113
1692374547.4588811,6743,-4.123280048370361
1692374603.9103825,6855,-4.070237159729004
1692374661.717923,6967,-4.061413764953613
1692374674.8496957,6993,-3.9772322177886963
1692374733.5742598,7107,-3.995894432067871
1692374738.119697,7115,-3.964871406555176
1692374759.123169,7156,-3.932859182357788
1692374806.1783617,7248,-3.872424364089966
1692374838.6307163,7312,-3.9439241886138916
1692374863.144118,7360,-3.8454854488372803
1692374874.875536,7383,-3.822580575942993
1692374909.4072957,7451,-3.861055374145508
1692374914.7868574,7461,-4.005290985107422
1692374916.0995727,7464,-3.946098804473877
1692374923.535845,7479,-3.8863816261291504
1692374940.946813,7512,-4.021125316619873
1692375033.1802378,7694,-4.061550140380859
1692375067.5667944,7761,-4.111711502075195
1692375081.7248237,7789,-4.0279459953308105
1692375086.9997394,7799,-3.9475443363189697
1692375105.3544736,7834,-4.0832438468933105
1692375185.2061093,7992,-4.225987434387207
1692375223.3099687,8067,-4.249789714813232
1692375282.2792423,8181,-4.330054759979248
1692375302.4728901,8222,-4.338842868804932
1692375375.2090003,8364,-4.327495098114014
1692375378.4028993,8369,-4.326426029205322
1692375382.314516,8378,-4.44867467880249
1692375430.8538873,8471,-4.3731255531311035
1692375445.1451554,8499,-4.400717735290527
1692375449.7412221,8509,-4.329710006713867
1692375498.223368,8602,-4.340902805328369
1692375515.051689,8636,-4.456226348876953
1692375545.7107968,8696,-4.4914984703063965
1692375639.4482446,8879,-4.365139007568359
1692375653.2488182,8905,-4.472575664520264
1692375654.58295,8908,-4.387327194213867
1692375664.8542724,8929,-4.318195819854736
1692375669.031736,8936,-4.359340667724609
1692375698.057358,8994,-4.439050674438477
1692375701.7165627,9000,-4.408328056335449
1692375729.6102111,9056,-4.53079891204834
1692375834.419749,9261,-4.456467628479004
1692375863.748069,9317,-4.414463520050049
1692375880.1810043,9349,-4.430246829986572
1692375923.9985664,9436,-4.49674654006958
1692375940.9149494,9469,-4.492630958557129
1692375981.1232839,9548,-4.594573497772217
1692375985.4876873,9555,-4.497984886169434
1692375991.0658529,9568,-4.484375953674316
1692376021.8934615,9628,-4.589950084686279
1692376037.4642742,9658,-4.573103904724121
1692376048.6078806,9681,-4.52949857711792
1692376057.7391813,9699,-4.53098726272583
1692376132.330271,9844,-4.44966459274292
1692376165.7418232,9908,-4.6407389640808105
1692376243.9595468,10059,-4.654432773590088
